X,Y,Z
-5.000000000000000000e+00,-5.000000000000000000e+00,7.088612918380415850e-01
-4.898989898989898784e+00,-5.000000000000000000e+00,6.569920930522232805e-01
-4.797979797979797567e+00,-5.000000000000000000e+00,6.024005398983897086e-01
-4.696969696969697239e+00,-5.000000000000000000e+00,5.454743285580685441e-01
-4.595959595959596022e+00,-5.000000000000000000e+00,4.866010284404519437e-01
-4.494949494949494806e+00,-5.000000000000000000e+00,4.261648749019522620e-01
-4.393939393939393590e+00,-5.000000000000000000e+00,3.645437265798461279e-01
-4.292929292929293261e+00,-5.000000000000000000e+00,3.021062112202224648e-01
-4.191919191919192045e+00,-5.000000000000000000e+00,2.392090810524068467e-01
-4.090909090909090828e+00,-5.000000000000000000e+00,1.761947957915153407e-01
-3.989898989898989612e+00,-5.000000000000000000e+00,1.133893482762726584e-01
-3.888888888888888840e+00,-5.000000000000000000e+00,5.110034460959609476e-02
-3.787878787878788067e+00,-5.000000000000000000e+00,-1.038465249637267503e-02
-3.686868686868686851e+00,-5.000000000000000000e+00,-7.079951162263715958e-02
-3.585858585858585634e+00,-5.000000000000000000e+00,-1.299006493486275504e-01
-3.484848484848484862e+00,-5.000000000000000000e+00,-1.874678763334071130e-01
-3.383838383838384090e+00,-5.000000000000000000e+00,-2.433049762428734220e-01
-3.282828282828282873e+00,-5.000000000000000000e+00,-2.972400237372521681e-01
-3.181818181818181657e+00,-5.000000000000000000e+00,-3.491254502951318672e-01
-3.080808080808080884e+00,-5.000000000000000000e+00,-3.988378690033175245e-01
-2.979797979797979668e+00,-5.000000000000000000e+00,-4.462776715625189072e-01
-2.878787878787878896e+00,-5.000000000000000000e+00,-4.913684126278692332e-01
-2.777777777777777679e+00,-5.000000000000000000e+00,-5.340559982045119947e-01
-2.676767676767676907e+00,-5.000000000000000000e+00,-5.743076961405250147e-01
-2.575757575757575690e+00,-5.000000000000000000e+00,-6.121109877947406019e-01
-2.474747474747474918e+00,-5.000000000000000000e+00,-6.474722807027061267e-01
